model_family,hf_author,github_repo,model_examples,category,notes
mamba,state-spaces,state-spaces/mamba,"mamba-130m,mamba-2.8b",llm,State space model alternative to transformers
rwkv,RWKV,rwkv/rwkv-lm,"RWKV-4,RWKV-5,RWKV-6",llm,Linear attention RNN; rwkv-lm not in catalog
bert,google-bert,google-research/bert,"bert-base-uncased,bert-large-uncased",nlp,BERT — 58M downloads; foundational NLP
roberta,FacebookAI,facebookresearch/fairseq,"roberta-base,roberta-large",nlp,RoBERTa via fairseq
distilbert,distilbert,huggingface/transformers,"distilbert-base-uncased",nlp,DistilBERT — distilled BERT
t5,google-t5,google-research/text-to-text-transfer-transformer,"t5-small,t5-base,t5-large,flan-t5",nlp,T5 encoder-decoder
fasttext,facebook,facebookresearch/fasttext,"n/a",nlp,FastText word embeddings
clip,openai,openai/clip,"clip-vit-base-patch32,clip-vit-large-patch14",vision,CLIP — vision-language contrastive; 24M downloads
sam,facebook,facebookresearch/segment-anything,"sam-vit-base,sam-vit-large,sam-vit-huge",vision,Segment Anything Model
sam2,facebook,facebookresearch/sam2,"sam2-hiera-large",vision,SAM 2 — video segmentation
dinov2,facebook,facebookresearch/dinov2,"dinov2-base,dinov2-large,dinov2-giant",vision,DINOv2 self-supervised vision
detr,facebook,facebookresearch/detr,"detr-resnet-50,detr-resnet-101",vision,DETR object detection
timm,timm,huggingface/pytorch-image-models,"mobilenetv3,efficientnet,vit",vision,PyTorch Image Models — 19M downloads
bge,BAAI,baai/bge-small-en-v1.5,"bge-small-en-v1.5,bge-base-en-v1.5,bge-m3",embedding,BGE embeddings — 28M downloads; baai not in catalog as org
nomic-embed,nomic-ai,nomic-ai/gpt4all,"nomic-embed-text-v1.5",embedding,Nomic embeddings; gpt4all is the main repo
e5,intfloat,intfloat/e5-mistral-7b-instruct,"multilingual-e5-large,e5-mistral-7b",embedding,E5 embeddings; intfloat not in catalog
sentence-transformers,sentence-transformers,huggingface/sentence-transformers,"all-MiniLM-L6-v2,all-mpnet-base-v2",embedding,Sentence embedding library — 18.6K stars
whisper,openai,openai/whisper,"whisper-large-v3,whisper-base,whisper-tiny",speech,Whisper ASR — 99K stars
audiocraft,facebook,facebookresearch/audiocraft,"musicgen-small,audiogen-medium",speech,AudioCraft — music/audio generation
seamless,facebook,facebookresearch/seamless_communication,"seamlessM4T",speech,SeamlessM4T multilingual speech
demucs,facebook,facebookresearch/demucs,"htdemucs",speech,Music source separation
stable-diffusion,stabilityai,stabilityai/generative-models,"stable-diffusion-v1-5,sd-3-medium",image-gen,Stable Diffusion; stabilityai not in GoodAI catalog
diffusers,diffusers,huggingface/diffusers,"n/a",image-gen,Diffusion model library
apple-ml-sd,apple,apple/ml-stable-diffusion,"n/a",image-gen,Apple CoreML Stable Diffusion
shap-e,openai,openai/shap-e,"shap-e",image-gen,3D generation from text/images
dall-e,openai,openai/dall-e,"dall-e",image-gen,DALL-E (open decoder code)
alphafold,google-deepmind,google-deepmind/alphafold,"n/a",science,AlphaFold protein structure prediction
timesfm,google-research,google-research/timesfm,"timesfm-2.0",time-series,Google TimesFM forecasting
faiss,facebook,facebookresearch/faiss,"n/a",infra,FAISS vector similarity search — 40K stars
megatron-lm,nvidia,nvidia/megatron-lm,"n/a",infra,NVIDIA Megatron distributed training
tensorrt-llm,nvidia,nvidia/tensorrt-llm,"n/a",infra,TensorRT-LLM inference optimization
tiktoken,openai,openai/tiktoken,"n/a",infra,OpenAI tokenizer — used by most LLM tooling
transformers,huggingface,huggingface/transformers,"n/a",infra,Core library — runtime most models depend on
peft,huggingface,huggingface/peft,"n/a",infra,Parameter-efficient fine-tuning (LoRA etc)
trl,huggingface,huggingface/trl,"n/a",infra,Transformer Reinforcement Learning (RLHF)
datasets,huggingface,huggingface/datasets,"n/a",infra,HuggingFace Datasets library
xformers,facebook,facebookresearch/xformers,"n/a",infra,Memory-efficient transformers
openai-python,openai,openai/openai-python,"n/a",sdk,OpenAI Python SDK — 31K stars
anthropic-sdk,anthropics,anthropics/claude-code,"n/a",sdk,Anthropic Claude Code — 119K stars
