model_id,author,downloads,likes,pipeline_tag,library_name,created_at,last_modified,tags
FacebookAI/xlm-roberta-base,FacebookAI,19458862,844,fill-mask,transformers,2022-03-02 23:29:04+00:00,2024-02-19 12:48:21+00:00,"transformers,pytorch,tf,jax,onnx,safetensors,xlm-roberta,fill-mask,exbert,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:1911.02116,license:mit,endpoints_compatible,deploy:azure,region:us"
laion/clap-htsat-fused,laion,18853525,103,audio-classification,transformers,2023-02-16 20:45:11+00:00,2026-01-12 00:41:49+00:00,"transformers,pytorch,safetensors,clap,feature-extraction,zero-shot audio classification,zero-shot audio retrieval,audio-classification,en,arxiv:2211.06687,license:apache-2.0,endpoints_compatible,region:us"
nomic-ai/nomic-embed-text-v1.5,nomic-ai,17654971,845,sentence-similarity,sentence-transformers,2024-02-10 06:32:35+00:00,2026-04-07 14:17:02+00:00,"sentence-transformers,onnx,safetensors,nomic_bert,feature-extraction,sentence-similarity,mteb,transformers,transformers.js,custom_code,en,arxiv:2402.01613,arxiv:2205.13147,license:apache-2.0,model-index,eval-results,text-embeddings-inference,endpoints_compatible,region:us"
openai/clip-vit-large-patch14,openai,16510838,2034,zero-shot-image-classification,transformers,2022-03-02 23:29:05+00:00,2023-09-15 15:49:35+00:00,"transformers,pytorch,tf,jax,safetensors,clip,zero-shot-image-classification,vision,arxiv:2103.00020,arxiv:1908.04913,endpoints_compatible,region:us"
colbert-ir/colbertv2.0,colbert-ir,15997316,357,,transformers,2023-06-27 21:31:39+00:00,2024-04-05 20:18:44+00:00,"transformers,pytorch,onnx,safetensors,bert,ColBERT,en,arxiv:2004.12832,arxiv:2007.00814,arxiv:2101.00436,arxiv:2112.01488,arxiv:2205.09707,license:mit,endpoints_compatible,region:us"
Qwen/Qwen3-4B,Qwen,15850097,632,text-generation,transformers,2025-04-27 03:41:29+00:00,2025-07-26 03:46:39+00:00,"transformers,safetensors,text-generation,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-4B-Base,base_model:finetune:Qwen/Qwen3-4B-Base,license:apache-2.0,endpoints_compatible,deploy:azure,region:us"
BAAI/bge-reranker-v2-m3,BAAI,13943532,1030,text-classification,sentence-transformers,2024-03-15 13:32:18+00:00,2024-06-24 14:08:45+00:00,"sentence-transformers,safetensors,xlm-roberta,text-classification,transformers,text-embeddings-inference,multilingual,arxiv:2312.15503,arxiv:2402.03216,license:apache-2.0,endpoints_compatible,deploy:azure,region:us"
BAAI/bge-large-en-v1.5,BAAI,13900280,683,feature-extraction,sentence-transformers,2023-09-12 05:20:08+00:00,2024-02-21 02:51:44+00:00,"sentence-transformers,pytorch,onnx,safetensors,bert,feature-extraction,sentence-similarity,transformers,mteb,en,arxiv:2401.03462,arxiv:2312.15503,arxiv:2311.13534,arxiv:2310.07554,arxiv:2309.07597,license:mit,model-index,eval-results,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us"
autogluon/chronos-2,autogluon,13795161,32,time-series-forecasting,chronos-forecasting,2025-10-06 18:52:51+00:00,2026-06-05 11:59:59+00:00,"chronos-forecasting,safetensors,t5,time series,forecasting,foundation models,pretrained models,time-series-forecasting,dataset:autogluon/chronos_datasets,dataset:Salesforce/GiftEvalPretrain,arxiv:2403.07815,arxiv:2510.15821,license:apache-2.0,region:us"
FacebookAI/roberta-base,FacebookAI,13525502,613,fill-mask,transformers,2022-03-02 23:29:04+00:00,2024-02-19 12:39:28+00:00,"transformers,pytorch,tf,jax,rust,safetensors,roberta,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1907.11692,arxiv:1806.02847,license:mit,endpoints_compatible,deploy:azure,region:us"
hexgrad/Kokoro-82M,hexgrad,13411836,6298,text-to-speech,,2024-12-26 00:20:08+00:00,2025-04-10 18:12:48+00:00,"text-to-speech,en,arxiv:2306.07691,arxiv:2203.02395,base_model:yl4579/StyleTTS2-LJSpeech,base_model:finetune:yl4579/StyleTTS2-LJSpeech,doi:10.57967/hf/4329,license:apache-2.0,region:us"
openai-community/gpt2,openai-community,13361833,3295,text-generation,transformers,2022-03-02 23:29:04+00:00,2024-02-19 10:57:45+00:00,"transformers,pytorch,tf,jax,tflite,rust,onnx,safetensors,gpt2,text-generation,exbert,en,doi:10.57967/hf/0039,license:mit,text-generation-inference,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen2.5-3B-Instruct,Qwen,13113728,496,text-generation,transformers,2024-09-17 14:08:52+00:00,2024-09-25 12:33:00+00:00,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2407.10671,base_model:Qwen/Qwen2.5-3B,base_model:finetune:Qwen/Qwen2.5-3B,license:other,text-generation-inference,endpoints_compatible,deploy:azure,region:us"
Bingsu/adetailer,Bingsu,12607362,719,,ultralytics,2023-04-26 00:58:45+00:00,2024-11-21 12:40:27+00:00,"ultralytics,pytorch,dataset:wider_face,dataset:skytnt/anime-segmentation,doi:10.57967/hf/3633,license:apache-2.0,region:us"
amazon/chronos-2,amazon,12421045,318,time-series-forecasting,chronos-forecasting,2025-10-30 14:54:39+00:00,2026-06-05 11:55:42+00:00,"chronos-forecasting,safetensors,t5,time series,forecasting,foundation models,pretrained models,time-series-forecasting,dataset:autogluon/chronos_datasets,dataset:Salesforce/GiftEvalPretrain,arxiv:2403.07815,arxiv:2510.15821,license:apache-2.0,region:us"
FacebookAI/roberta-large,FacebookAI,12191735,300,fill-mask,transformers,2022-03-02 23:29:04+00:00,2024-02-19 12:47:04+00:00,"transformers,pytorch,tf,jax,onnx,safetensors,roberta,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1907.11692,arxiv:1806.02847,license:mit,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen2.5-7B-Instruct,Qwen,11898561,1347,text-generation,transformers,2024-09-16 11:55:40+00:00,2025-01-12 02:10:10+00:00,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2309.00071,arxiv:2407.10671,base_model:Qwen/Qwen2.5-7B,base_model:finetune:Qwen/Qwen2.5-7B,license:apache-2.0,eval-results,text-generation-inference,endpoints_compatible,deploy:azure,region:us"
google/gemma-4-26B-A4B-it,google,11448151,1111,image-text-to-text,transformers,2026-03-11 21:25:57+00:00,2026-06-03 08:49:38+00:00,"transformers,safetensors,gemma4,image-text-to-text,conversational,base_model:google/gemma-4-26B-A4B,base_model:finetune:google/gemma-4-26B-A4B,license:apache-2.0,eval-results,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen3-8B,Qwen,10762218,1128,text-generation,transformers,2025-04-27 03:42:21+00:00,2025-07-26 03:49:13+00:00,"transformers,safetensors,qwen3,text-generation,conversational,arxiv:2309.00071,arxiv:2505.09388,base_model:Qwen/Qwen3-8B-Base,base_model:finetune:Qwen/Qwen3-8B-Base,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen2.5-1.5B-Instruct,Qwen,10629647,734,text-generation,transformers,2024-09-17 14:10:29+00:00,2024-09-25 12:32:50+00:00,"transformers,safetensors,qwen2,text-generation,chat,conversational,en,arxiv:2407.10671,base_model:Qwen/Qwen2.5-1.5B,base_model:finetune:Qwen/Qwen2.5-1.5B,license:apache-2.0,text-generation-inference,endpoints_compatible,deploy:azure,region:us"
facebook/opt-125m,facebook,10486874,266,text-generation,transformers,2022-05-11 08:25:17+00:00,2023-09-15 13:10:03+00:00,"transformers,pytorch,tf,jax,opt,text-generation,en,arxiv:2205.01068,arxiv:2005.14165,license:other,text-generation-inference,deploy:azure,region:us"
autogluon/chronos-bolt-small,autogluon,10229217,43,time-series-forecasting,,2024-11-13 13:28:57+00:00,2025-10-30 09:20:15+00:00,"safetensors,t5,time series,forecasting,pretrained models,foundation models,time series foundation models,time-series,time-series-forecasting,arxiv:1910.10683,arxiv:2403.07815,license:apache-2.0,region:us"
meta-llama/Llama-3.1-8B-Instruct,meta-llama,9891622,6044,text-generation,transformers,2024-07-18 08:56:00+00:00,2024-09-25 17:00:57+00:00,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,base_model:meta-llama/Llama-3.1-8B,base_model:finetune:meta-llama/Llama-3.1-8B,license:llama3.1,eval-results,text-generation-inference,endpoints_compatible,region:us"
google/gemma-4-31B-it,google,9794751,2960,image-text-to-text,transformers,2026-03-11 18:22:36+00:00,2026-06-03 08:50:40+00:00,"transformers,safetensors,gemma4,image-text-to-text,conversational,base_model:google/gemma-4-31B,base_model:finetune:google/gemma-4-31B,license:apache-2.0,eval-results,endpoints_compatible,deploy:azure,region:us"
distilbert/distilbert-base-uncased,distilbert,9367942,893,fill-mask,transformers,2022-03-02 23:29:04+00:00,2024-05-06 13:44:53+00:00,"transformers,pytorch,tf,jax,rust,safetensors,distilbert,fill-mask,exbert,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1910.01108,license:apache-2.0,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen3.5-4B,Qwen,8955908,625,image-text-to-text,transformers,2026-02-27 14:45:03+00:00,2026-03-02 00:52:52+00:00,"transformers,safetensors,qwen3_5,image-text-to-text,conversational,base_model:Qwen/Qwen3.5-4B-Base,base_model:finetune:Qwen/Qwen3.5-4B-Base,license:apache-2.0,eval-results,endpoints_compatible,deploy:azure,region:us"
coqui/XTTS-v2,coqui,8844332,3590,text-to-speech,coqui,2023-10-31 10:11:33+00:00,2023-12-11 17:50:00+00:00,"coqui,text-to-speech,license:other,region:us"
lpiccinelli/unidepth-v2-vitl14,lpiccinelli,8726886,33,,UniDepth,2024-06-12 12:39:28+00:00,2025-02-28 13:55:37+00:00,"UniDepth,pytorch,safetensors,model_hub_mixin,monocular-metric-depth-estimation,pytorch_model_hub_mixin,region:us"
Qwen/Qwen3.5-9B,Qwen,8700726,1547,image-text-to-text,transformers,2026-02-27 12:58:26+00:00,2026-03-02 00:51:43+00:00,"transformers,safetensors,qwen3_5,image-text-to-text,conversational,base_model:Qwen/Qwen3.5-9B-Base,base_model:finetune:Qwen/Qwen3.5-9B-Base,license:apache-2.0,eval-results,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen3-Embedding-0.6B,Qwen,8585514,1059,feature-extraction,sentence-transformers,2025-06-03 14:25:32+00:00,2026-04-20 02:45:58+00:00,"sentence-transformers,safetensors,qwen3,text-generation,transformers,sentence-similarity,feature-extraction,text-embeddings-inference,arxiv:2506.05176,base_model:Qwen/Qwen3-0.6B-Base,base_model:finetune:Qwen/Qwen3-0.6B-Base,license:apache-2.0,endpoints_compatible,deploy:azure,region:us"
BAAI/bge-base-en-v1.5,BAAI,8454334,436,feature-extraction,sentence-transformers,2023-09-11 15:04:22+00:00,2024-02-21 03:00:19+00:00,"sentence-transformers,pytorch,onnx,safetensors,bert,feature-extraction,sentence-similarity,transformers,mteb,en,arxiv:2401.03462,arxiv:2312.15503,arxiv:2311.13534,arxiv:2310.07554,arxiv:2309.07597,license:mit,model-index,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us"
argmaxinc/whisperkit-coreml,argmaxinc,8442991,189,automatic-speech-recognition,whisperkit,2024-02-28 08:05:21+00:00,2026-04-24 20:29:35+00:00,"whisperkit,coreml,whisper,asr,quantized,automatic-speech-recognition,region:us"
intfloat/multilingual-e5-small,intfloat,8373860,335,sentence-similarity,sentence-transformers,2023-06-30 07:31:03+00:00,2026-04-02 02:16:05+00:00,"sentence-transformers,pytorch,onnx,safetensors,openvino,bert,mteb,Sentence Transformers,sentence-similarity,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:2402.05672,arxiv:2108.08787,arxiv:2104.08663,arxiv:2210.07316,license:mit,model-index,eval-results,text-embeddings-inference,endpoints_compatible,region:us"
pyannote/speaker-diarization-3.1,pyannote,8175462,2248,automatic-speech-recognition,pyannote-audio,2023-11-16 08:19:01+00:00,2024-05-10 19:43:23+00:00,"pyannote-audio,pyannote,pyannote-audio-pipeline,audio,voice,speech,speaker,speaker-diarization,speaker-change-detection,voice-activity-detection,overlapped-speech-detection,automatic-speech-recognition,arxiv:2111.14448,arxiv:2012.01477,license:mit,endpoints_compatible,region:us"
Falconsai/nsfw_image_detection,Falconsai,7995304,1095,image-classification,transformers,2023-10-13 23:50:01+00:00,2025-04-06 13:42:07+00:00,"transformers,pytorch,safetensors,vit,image-classification,arxiv:2010.11929,license:apache-2.0,endpoints_compatible,deploy:azure,region:us"
google/gemma-3-270m,google,7809061,1032,text-generation,transformers,2025-08-05 18:50:31+00:00,2025-08-14 07:35:01+00:00,"transformers,safetensors,gemma3,gemma,google,text-generation,arxiv:2503.19786,arxiv:1905.07830,arxiv:1905.10044,arxiv:1911.11641,arxiv:1705.03551,arxiv:1911.01547,arxiv:1907.10641,arxiv:2311.07911,arxiv:2311.12022,arxiv:2411.04368,arxiv:1904.09728,arxiv:1903.00161,arxiv:2009.03300,arxiv:2304.06364,arxiv:2103.03874,arxiv:2110.14168,arxiv:2108.07732,arxiv:2107.03374,arxiv:2403.07974,arxiv:2305.03111,arxiv:2405.04520,arxiv:2210.03057,arxiv:2106.03193,arxiv:1910.11856,arxiv:2502.12404,arxiv:2502.21228,arxiv:2404.16816,arxiv:2104.12756,arxiv:2311.16502,arxiv:2203.10244,arxiv:2404.12390,arxiv:1810.12440,arxiv:1908.02660,arxiv:2310.02255,arxiv:2312.11805,license:gemma,endpoints_compatible,region:us"
openai/whisper-large-v3-turbo,openai,7797658,3074,automatic-speech-recognition,transformers,2024-10-01 07:39:28+00:00,2024-10-04 14:51:11+00:00,"transformers,safetensors,whisper,automatic-speech-recognition,audio,en,zh,de,es,ru,ko,fr,ja,pt,tr,pl,ca,nl,ar,sv,it,id,hi,fi,vi,he,uk,el,ms,cs,ro,da,hu,ta,no,th,ur,hr,bg,lt,la,mi,ml,cy,sk,te,fa,lv,bn,sr,az,sl,kn,et,mk,br,eu,is,hy,ne,mn,bs,kk,sq,sw,gl,mr,pa,si,km,sn,yo,so,af,oc,ka,be,tg,sd,gu,am,yi,lo,uz,fo,ht,ps,tk,nn,mt,sa,lb,my,bo,tl,mg,as,tt,haw,ln,ha,ba,jw,su,arxiv:2212.04356,base_model:openai/whisper-large-v3,base_model:finetune:openai/whisper-large-v3,license:mit,eval-results,endpoints_compatible,deploy:azure,region:us"
pyannote/wespeaker-voxceleb-resnet34-LM,pyannote,7685753,145,,pyannote-audio,2023-11-13 15:32:31+00:00,2024-05-10 19:36:24+00:00,"pyannote-audio,pytorch,pyannote,pyannote-audio-model,wespeaker,audio,voice,speech,speaker,speaker-recognition,speaker-verification,speaker-identification,speaker-embedding,dataset:voxceleb,license:cc-by-4.0,region:us"
Qwen/Qwen3-VL-8B-Instruct,Qwen,7602359,948,image-text-to-text,transformers,2025-10-11 07:23:39+00:00,2025-10-15 16:16:59+00:00,"transformers,safetensors,qwen3_vl,image-text-to-text,conversational,arxiv:2505.09388,arxiv:2502.13923,arxiv:2409.12191,arxiv:2308.12966,license:apache-2.0,eval-results,endpoints_compatible,deploy:azure,region:us"
meta-llama/Llama-3.2-1B-Instruct,meta-llama,7398970,1469,text-generation,transformers,2024-09-18 15:12:47+00:00,2024-10-24 15:07:51+00:00,"transformers,safetensors,llama,text-generation,facebook,meta,pytorch,llama-3,conversational,en,de,fr,it,pt,hi,es,th,arxiv:2204.05149,arxiv:2405.16406,license:llama3.2,eval-results,text-generation-inference,endpoints_compatible,region:us"
facebook/contriever,facebook,7044264,90,,transformers,2022-03-02 23:29:05+00:00,2022-01-19 17:23:28+00:00,"transformers,pytorch,bert,arxiv:2112.09118,endpoints_compatible,region:us"
intfloat/multilingual-e5-large,intfloat,6943352,1203,feature-extraction,sentence-transformers,2023-06-30 07:38:19+00:00,2026-04-02 02:16:59+00:00,"sentence-transformers,pytorch,onnx,safetensors,openvino,xlm-roberta,mteb,Sentence Transformers,sentence-similarity,feature-extraction,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:2402.05672,arxiv:2108.08787,arxiv:2104.08663,arxiv:2210.07316,license:mit,model-index,eval-results,text-embeddings-inference,endpoints_compatible,deploy:azure,region:us"
pyannote/segmentation-3.0,pyannote,6923526,1125,voice-activity-detection,pyannote-audio,2023-09-22 12:03:10+00:00,2024-05-10 19:35:46+00:00,"pyannote-audio,pytorch,pyannote,pyannote-audio-model,audio,voice,speech,speaker,speaker-diarization,speaker-change-detection,speaker-segmentation,voice-activity-detection,overlapped-speech-detection,resegmentation,license:mit,region:us"
ProsusAI/finbert,ProsusAI,6728524,1176,text-classification,transformers,2022-03-02 23:29:04+00:00,2023-05-23 12:43:35+00:00,"transformers,pytorch,tf,jax,bert,text-classification,financial-sentiment-analysis,sentiment-analysis,en,arxiv:1908.10063,endpoints_compatible,deploy:azure,region:us"
openai/gpt-oss-20b,openai,6652683,4695,text-generation,transformers,2025-08-04 22:33:29+00:00,2025-08-26 17:25:47+00:00,"transformers,safetensors,gpt_oss,text-generation,vllm,conversational,arxiv:2508.10925,license:apache-2.0,eval-results,endpoints_compatible,8-bit,mxfp4,deploy:azure,region:us"
deepseek-ai/DeepSeek-R1-0528,deepseek-ai,6486312,2450,text-generation,transformers,2025-05-28 09:46:42+00:00,2025-05-29 11:37:44+00:00,"transformers,safetensors,deepseek_v3,text-generation,conversational,custom_code,arxiv:2501.12948,license:mit,eval-results,text-generation-inference,endpoints_compatible,fp8,region:us"
FacebookAI/xlm-roberta-large,FacebookAI,6447150,518,fill-mask,transformers,2022-03-02 23:29:04+00:00,2024-02-19 12:48:30+00:00,"transformers,pytorch,tf,jax,onnx,safetensors,xlm-roberta,fill-mask,exbert,multilingual,af,am,ar,as,az,be,bg,bn,br,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,he,hi,hr,hu,hy,id,is,it,ja,jv,ka,kk,km,kn,ko,ku,ky,la,lo,lt,lv,mg,mk,ml,mn,mr,ms,my,ne,nl,no,om,or,pa,pl,ps,pt,ro,ru,sa,sd,si,sk,sl,so,sq,sr,su,sv,sw,ta,te,th,tl,tr,ug,uk,ur,uz,vi,xh,yi,zh,arxiv:1911.02116,license:mit,endpoints_compatible,deploy:azure,region:us"
Qwen/Qwen3.6-27B-FP8,Qwen,6419360,260,image-text-to-text,transformers,2026-04-21 07:51:33+00:00,2026-04-24 02:39:18+00:00,"transformers,safetensors,qwen3_5,image-text-to-text,conversational,base_model:Qwen/Qwen3.6-27B,base_model:quantized:Qwen/Qwen3.6-27B,license:apache-2.0,endpoints_compatible,fp8,deploy:azure,region:us"
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-transformers,6344011,463,sentence-similarity,sentence-transformers,2022-03-02 23:29:05+00:00,2025-08-19 10:29:38+00:00,"sentence-transformers,pytorch,tf,onnx,safetensors,openvino,xlm-roberta,feature-extraction,sentence-similarity,transformers,text-embeddings-inference,multilingual,ar,bg,ca,cs,da,de,el,en,es,et,fa,fi,fr,gl,gu,he,hi,hr,hu,hy,id,it,ja,ka,ko,ku,lt,lv,mk,mn,mr,ms,my,nb,nl,pl,pt,ro,ru,sk,sl,sq,sr,sv,th,tr,uk,ur,vi,arxiv:1908.10084,license:apache-2.0,eval-results,endpoints_compatible,region:us"
Qwen/Qwen2.5-VL-7B-Instruct,Qwen,6289765,1569,image-text-to-text,transformers,2025-01-26 09:26:37+00:00,2025-04-06 16:23:01+00:00,"transformers,safetensors,qwen2_5_vl,image-text-to-text,multimodal,conversational,en,arxiv:2309.00071,arxiv:2409.12191,arxiv:2308.12966,license:apache-2.0,eval-results,text-generation-inference,endpoints_compatible,deploy:azure,region:us"
google/gemma-4-E4B-it,google,5699237,1224,any-to-any,transformers,2026-03-02 19:57:40+00:00,2026-06-03 08:48:25+00:00,"transformers,safetensors,gemma4,image-text-to-text,any-to-any,base_model:google/gemma-4-E4B,base_model:finetune:google/gemma-4-E4B,license:apache-2.0,eval-results,endpoints_compatible,deploy:azure,region:us"
google-bert/bert-large-uncased,google-bert,5649240,147,fill-mask,transformers,2022-03-02 23:29:04+00:00,2024-02-19 11:06:54+00:00,"transformers,pytorch,tf,jax,rust,safetensors,bert,fill-mask,en,dataset:bookcorpus,dataset:wikipedia,arxiv:1810.04805,license:apache-2.0,endpoints_compatible,deploy:azure,region:us"
