full_name,description,stargazers_count,forks_count,language,topics,html_url,created_at,updated_at
langchain-ai/langchain,The agent engineering platform.,138980,23022,Python,"['agents', 'ai', 'ai-agents', 'anthropic', 'chatgpt', 'deepagents', 'enterprise', 'framework', 'gemini', 'generative-ai', 'langchain', 'langgraph', 'llm', 'multiagent', 'open-source', 'openai', 'pydantic', 'python', 'rag', 'typescript']",https://github.com/langchain-ai/langchain,2022-10-17T02:58:36Z,2026-06-10T20:16:12Z
firecrawl/firecrawl,"The API to search, scrape, and interact with the web at scale. 🔥",131103,7747,TypeScript,"['ai', 'ai-agents', 'ai-crawler', 'ai-scraping', 'ai-search', 'crawler', 'data-extraction', 'html-to-markdown', 'llm', 'markdown', 'scraper', 'scraping', 'web-crawler', 'web-data', 'web-data-extraction', 'web-scraper', 'web-scraping', 'web-search', 'webscraping']",https://github.com/firecrawl/firecrawl,2024-04-15T21:02:29Z,2026-06-10T20:20:44Z
Comfy-Org/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",116491,13633,Python,"['ai', 'comfy', 'comfyui', 'python', 'pytorch', 'stable-diffusion']",https://github.com/Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,2026-06-10T20:14:01Z
microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI ",111835,60045,Jupyter Notebook,"['ai', 'azure', 'chatgpt', 'dall-e', 'generative-ai', 'generativeai', 'gpt', 'language-model', 'llms', 'microsoft-for-beginners', 'openai', 'prompt-engineering', 'semantic-search', 'transformers']",https://github.com/microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,2026-06-10T20:20:11Z
github/spec-kit,💫 Toolkit to help you get started with Spec-Driven Development,111115,9801,Python,"['ai', 'copilot', 'development', 'engineering', 'prd', 'spec', 'spec-driven']",https://github.com/github/spec-kit,2025-08-21T22:54:31Z,2026-06-10T20:26:28Z
google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,105142,14029,TypeScript,"['ai', 'ai-agents', 'cli', 'gemini', 'gemini-api', 'mcp-client', 'mcp-server']",https://github.com/google-gemini/gemini-cli,2025-04-17T17:04:31Z,2026-06-10T20:15:31Z
supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",103984,12693,TypeScript,"['ai', 'alternative', 'auth', 'database', 'deno', 'embeddings', 'example', 'firebase', 'nextjs', 'oauth2', 'pgvector', 'postgis', 'postgres', 'postgresql', 'postgrest', 'realtime', 'supabase', 'vectors', 'websockets']",https://github.com/supabase/supabase,2019-10-12T05:56:49Z,2026-06-10T20:19:43Z
rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",96975,14827,Jupyter Notebook,"['ai', 'artificial-intelligence', 'attention-mechanism', 'deep-learning', 'finetuning', 'from-scratch', 'generative-ai', 'gpt', 'instruction-tuning', 'language-model', 'large-language-models', 'llm', 'machine-learning', 'natural-language-processing', 'pretraining', 'python', 'pytorch', 'tokenizer', 'transformers']",https://github.com/rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,2026-06-10T20:21:49Z
hacksider/Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,93706,13673,Python,"['ai', 'ai-deep-fake', 'ai-face', 'ai-webcam', 'artificial-intelligence', 'deep-fake', 'deepfake', 'deepfake-webcam', 'faceswap', 'fake-webcam', 'gan', 'real-time-deepfake', 'realtime', 'realtime-deepfake', 'realtime-face-changer', 'video-deepfake', 'webcam', 'webcamera']",https://github.com/hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,2026-06-10T19:49:24Z
punkpeye/awesome-mcp-servers,A collection of MCP servers.,88813,11357,,"['ai', 'mcp']",https://github.com/punkpeye/awesome-mcp-servers,2024-11-30T04:49:10Z,2026-06-10T19:50:00Z
harry0703/MoneyPrinterTurbo,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.,84865,12115,Python,"['ai', 'automation', 'chatgpt', 'moviepy', 'python', 'shortvideo', 'tiktok']",https://github.com/harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,2026-06-10T20:26:00Z
infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,82406,9503,Python,"['agentic-ai', 'agentic-retrieval', 'agentic-search', 'ai', 'ai-agents', 'context-engine', 'context-management', 'llm-apps', 'rag', 'retrieval-augmented-generation']",https://github.com/infiniflow/ragflow,2023-12-12T06:13:13Z,2026-06-10T20:11:17Z
thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",81615,7033,JavaScript,"['ai', 'ai-agents', 'ai-memory', 'anthropic', 'artificial-intelligence', 'chromadb', 'claude', 'claude-agent-sdk', 'claude-agents', 'claude-code', 'claude-code-plugin', 'claude-skills', 'embeddings', 'long-term-memory', 'mem0', 'memory-engine', 'openmemory', 'rag', 'sqlite', 'supermemory']",https://github.com/thedotmack/claude-mem,2025-08-31T20:50:03Z,2026-06-10T20:25:42Z
netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",79105,6449,C,"['ai', 'alerting', 'cncf', 'data-visualization', 'database', 'devops', 'docker', 'grafana', 'influxdb', 'kubernetes', 'linux', 'machine-learning', 'mcp', 'mongodb', 'monitoring', 'mysql', 'netdata', 'observability', 'postgresql', 'prometheus']",https://github.com/netdata/netdata,2013-06-17T18:39:10Z,2026-06-10T18:00:32Z
lobehub/lobehub,"🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team.",78459,15402,TypeScript,"['agent', 'agent-collaboration', 'agent-harness', 'ai', 'cao', 'chatgpt', 'chief-agent-operator', 'claude', 'deepseek', 'gemini', 'gpt', 'knowledge-base', 'mcp', 'openai', 'skills']",https://github.com/lobehub/lobehub,2023-05-21T07:19:12Z,2026-06-10T19:59:57Z
daytonaio/daytona,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,72438,5613,TypeScript,"['agentic-workflow', 'ai', 'ai-agents', 'ai-runtime', 'ai-sandboxes', 'code-execution', 'code-interpreter', 'developer-tools']",https://github.com/daytonaio/daytona,2024-02-06T08:21:20Z,2026-06-10T18:57:14Z
hiyouga/LlamaFactory,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),72055,8812,Python,"['agent', 'ai', 'deepseek', 'fine-tuning', 'gemma', 'gpt', 'instruction-tuning', 'large-language-models', 'llama', 'llama3', 'llm', 'lora', 'moe', 'nlp', 'peft', 'qlora', 'quantization', 'qwen', 'rlhf', 'transformers']",https://github.com/hiyouga/LlamaFactory,2023-05-28T10:09:12Z,2026-06-10T17:28:00Z
JuliusBrussee/caveman,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,71051,3992,JavaScript,"['ai', 'anthropic', 'caveman', 'claude', 'claude-code', 'llm', 'meme', 'prompt-engineering', 'skill', 'tokens']",https://github.com/JuliusBrussee/caveman,2026-04-04T10:03:00Z,2026-06-10T20:15:22Z
bytedance/deer-flow,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.",70899,9597,Python,"['agent', 'agentic', 'agentic-framework', 'agentic-workflow', 'ai', 'ai-agents', 'deep-research', 'harness', 'langchain', 'langgraph', 'langmanus', 'llm', 'multi-agent', 'nodejs', 'podcast', 'python', 'superagent', 'typescript']",https://github.com/bytedance/deer-flow,2025-05-07T02:50:19Z,2026-06-10T20:24:45Z
OpenBB-finance/OpenBB,"Financial data platform for analysts, quants and AI agents.",68885,6937,Python,"['ai', 'crypto', 'derivatives', 'economics', 'equity', 'finance', 'fixed-income', 'machine-learning', 'openbb', 'options', 'python', 'quantitative-finance', 'stocks']",https://github.com/OpenBB-finance/OpenBB,2020-12-20T10:46:38Z,2026-06-10T19:30:07Z
D4Vinci/Scrapling,🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!,62725,6099,Python,"['ai', 'ai-scraping', 'automation', 'crawler', 'crawling', 'crawling-python', 'data', 'data-extraction', 'mcp', 'mcp-server', 'playwright', 'python', 'scraping', 'selectors', 'stealth', 'web-scraper', 'web-scraping', 'web-scraping-python', 'webscraping', 'xpath']",https://github.com/D4Vinci/Scrapling,2024-10-13T20:29:53Z,2026-06-10T20:20:55Z
code-yeongyu/oh-my-openagent,"omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode",61816,5003,TypeScript,"['ai', 'ai-agents', 'anthropic', 'chatgpt', 'claude', 'claude-skills', 'codex', 'cursor', 'gemini', 'ide', 'openai', 'opencode', 'orchestration', 'tui', 'typescript']",https://github.com/code-yeongyu/oh-my-openagent,2025-12-03T01:40:05Z,2026-06-10T20:20:05Z
docling-project/docling,Get your documents ready for gen AI,61331,4282,Python,"['ai', 'convert', 'document-parser', 'document-parsing', 'documents', 'docx', 'html', 'markdown', 'pdf', 'pdf-converter', 'pdf-to-json', 'pdf-to-text', 'pptx', 'tables', 'xlsx']",https://github.com/docling-project/docling,2024-07-09T07:50:26Z,2026-06-10T20:25:20Z
sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",59273,24628,Python,"['ai', 'bark', 'data-analysis', 'docker', 'hot-news', 'llm', 'mail', 'mcp', 'mcp-server', 'news', 'ntfy', 'python', 'rss', 'trending-topics', 'wechat', 'wework']",https://github.com/sansan0/TrendRadar,2025-04-28T11:42:16Z,2026-06-10T19:29:43Z
microsoft/autogen,A programming framework for agentic AI,58849,8878,Python,"['agentic', 'agentic-agi', 'agents', 'ai', 'autogen', 'autogen-ecosystem', 'chatgpt', 'framework', 'llm-agent', 'llm-framework']",https://github.com/microsoft/autogen,2023-08-18T11:43:45Z,2026-06-10T18:47:46Z
mem0ai/mem0,Universal memory layer for AI Agents,58277,6694,Python,"['agents', 'ai', 'ai-agents', 'application', 'chatbots', 'chatgpt', 'genai', 'llm', 'long-term-memory', 'memory', 'memory-management', 'python', 'rag', 'state-management']",https://github.com/mem0ai/mem0,2023-06-20T08:58:36Z,2026-06-10T20:06:17Z
meilisearch/meilisearch,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,58043,2563,Rust,"['ai', 'api', 'app-search', 'database', 'enterprise-search', 'faceting', 'full-text-search', 'fuzzy-search', 'geosearch', 'hybrid-search', 'instantsearch', 'search', 'search-as-you-type', 'search-engine', 'semantic-search', 'site-search', 'typo-tolerance', 'vector-database', 'vector-search', 'vectors']",https://github.com/meilisearch/meilisearch,2018-04-23T11:45:28Z,2026-06-10T18:12:57Z
shanraisshan/claude-code-best-practice,from vibe coding to agentic engineering - practice makes claude perfect,57265,5751,HTML,"['agentic-ai', 'agentic-coding', 'agentic-engineering', 'agentic-workflow', 'ai', 'ai-agents', 'anthropic', 'best-practices', 'boris', 'claude', 'claude-ai', 'claude-code', 'claude-code-agents', 'claude-code-best-practices', 'claude-code-commands', 'claude-code-skills', 'context-engineering', 'pakistan', 'pakistani-developer', 'vibe-coding']",https://github.com/shanraisshan/claude-code-best-practice,2025-10-31T14:15:28Z,2026-06-10T20:21:06Z
zylon-ai/private-gpt,"Interact with your documents using the power of GPT, 100% privately, no data leaks",57222,7606,Python,"['ai', 'ai-tools', 'on-premise']",https://github.com/zylon-ai/private-gpt,2023-05-02T09:15:31Z,2026-06-10T18:27:08Z
koala73/worldmonitor,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",56223,8995,TypeScript,"['ai', 'dashboard', 'geopolitics', 'monitoring', 'news', 'opensource', 'osint', 'palantir', 'situation']",https://github.com/koala73/worldmonitor,2026-01-08T17:26:06Z,2026-06-10T20:08:45Z
MemPalace/mempalace,The best-benchmarked open-source AI memory system. And it's free.,55282,7179,Python,"['ai', 'chromadb', 'llm', 'mcp', 'memory', 'python']",https://github.com/MemPalace/mempalace,2026-04-05T01:12:07Z,2026-06-10T20:15:25Z
AntonOsika/gpt-engineer,CLI platform to experiment with codegen. Precursor to: https://lovable.dev,55199,7313,Python,"['ai', 'autonomous-agent', 'code-generation', 'codebase-generation', 'codegen', 'coding-assistant', 'gpt-4', 'gpt-engineer', 'openai', 'python']",https://github.com/AntonOsika/gpt-engineer,2023-04-29T12:52:15Z,2026-06-10T17:04:43Z
lencx/ChatGPT,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",54389,6156,Rust,"['ai', 'app', 'application', 'chatgpt', 'desktop-app', 'gpt', 'gpt-3', 'linux', 'macos', 'notes-app', 'openai', 'rust', 'tauri', 'webview', 'windows']",https://github.com/lencx/ChatGPT,2022-12-07T09:43:02Z,2026-06-10T17:22:20Z
Fission-AI/OpenSpec,Spec-driven development (SDD) for AI coding assistants.,54061,3783,TypeScript,"['ai', 'context-engineering', 'engineering', 'planning', 'prd', 'sdd', 'sdlc', 'spec', 'spec-driven-development', 'specification']",https://github.com/Fission-AI/OpenSpec,2025-08-05T10:37:45Z,2026-06-10T20:25:36Z
crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",53223,7447,Python,"['agents', 'ai', 'ai-agents', 'aiagentframework', 'llms']",https://github.com/crewAIInc/crewAI,2023-10-27T03:26:59Z,2026-06-10T20:00:10Z
dbeaver/dbeaver,Free universal database tool and SQL client,50492,4231,Java,"['ai', 'database', 'databricks', 'db2', 'dbeaver', 'erd', 'gui', 'java', 'jdbc', 'mysql', 'nosql', 'oracle', 'postgresql', 'redshift', 'snowflake', 'sql', 'sqlite', 'sqlserver']",https://github.com/dbeaver/dbeaver,2015-10-21T08:26:28Z,2026-06-10T18:24:07Z
aaif-goose/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",48735,5120,Rust,"['acp', 'ai', 'ai-agents', 'mcp']",https://github.com/aaif-goose/goose,2024-08-23T19:03:36Z,2026-06-10T20:22:28Z
microsoft/AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!",48051,9944,Jupyter Notebook,"['ai', 'artificial-intelligence', 'cnn', 'computer-vision', 'deep-learning', 'gan', 'machine-learning', 'microsoft-for-beginners', 'nlp', 'rnn']",https://github.com/microsoft/AI-For-Beginners,2021-03-03T16:27:36Z,2026-06-10T19:51:50Z
ClickHouse/ClickHouse,ClickHouse® is a real-time analytics database management system,47929,8500,C++,"['ai', 'analytics', 'big-data', 'clickhouse', 'cloud-native', 'cpp', 'database', 'dbms', 'distributed', 'embedded', 'hacktoberfest', 'lakehouse', 'mpp', 'olap', 'rust', 'self-hosted', 'sql']",https://github.com/ClickHouse/ClickHouse,2016-06-02T08:28:18Z,2026-06-10T20:15:30Z
mudler/LocalAI,"LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.",46776,4126,Go,"['agents', 'ai', 'api', 'audio-generation', 'decentralized', 'distributed', 'image-generation', 'libp2p', 'llama', 'llm', 'mamba', 'mcp', 'musicgen', 'object-detection', 'rerank', 'stable-diffusion', 'text-generation', 'tts']",https://github.com/mudler/LocalAI,2023-03-18T22:58:02Z,2026-06-10T19:27:03Z
GitHubDaily/GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",46738,4643,,"['ai', 'algorithms-and-data-structures', 'backend', 'developer-tools', 'development', 'frontend', 'github', 'java', 'javascript', 'kubernetes', 'linux', 'markdown', 'open-source', 'python', 'tutorials', 'web']",https://github.com/GitHubDaily/GitHubDaily,2018-12-30T13:56:58Z,2026-06-10T17:05:16Z
jeecgboot/JeecgBoot,AI 低代码平台「低代码 + 零代码」双驱动！低代码可一键生成前后端代码;零代码可 5 分钟搭建系统;AI Skills 一句话画流程、设计表单、生成整套系统。内置 AI聊天、知识库、流程编排、MCP插件等，兼容主流大模型。引领「AI 生成 → 在线配置 → 代码生成 → 手工合并->AI修改」开发模式，消除 Java 项目 80% 的重复工作，提效而不失灵活。,46691,16049,Java,"['activiti', 'agent', 'ai', 'antd', 'claude-code', 'cli', 'codegenerator', 'codex', 'flowable', 'langchain4j', 'llm', 'low-code', 'mcp', 'mybatis-plus', 'rag', 'skills', 'spring-ai', 'springboot', 'springcloud', 'vue3']",https://github.com/jeecgboot/JeecgBoot,2018-11-26T10:40:00Z,2026-06-10T17:49:51Z
upscayl/upscayl,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.",45970,2265,TypeScript,"['ai', 'electron', 'esrgan', 'gigapixel', 'gigapixel-images', 'image', 'image-upscaling', 'topaz', 'upscale', 'upscalerimage', 'upscayl']",https://github.com/upscayl/upscayl,2022-07-30T17:19:20Z,2026-06-10T18:27:56Z
zhayujie/CowAgent,"Open-source super AI assistant & Agent Harness. Plans tasks, runs tools and skills, self-evolves with memory and knowledge. Multi-model, multi-channel. Lightweight, extensible, one-line install. (formerly chatgpt-on-wechat)",45205,10191,Python,"['ai', 'ai-agent', 'ai-agents', 'chatgpt-on-wechat', 'claude', 'claude-code', 'codex', 'cowagent', 'deepseek', 'harness', 'llm', 'mcp', 'multi-agent', 'openai', 'openclaw', 'skills']",https://github.com/zhayujie/CowAgent,2022-08-07T08:33:41Z,2026-06-10T16:55:03Z
HKUDS/nanobot,"Lightweight, open-source AI agent for your tools, chats, and workflows.",44006,7797,Python,"['ai', 'ai-agent', 'ai-agents', 'anthropic', 'chatgpt', 'claude', 'claude-code', 'codex', 'codex-cli', 'llm', 'nanobot', 'openai', 'openclaw']",https://github.com/HKUDS/nanobot,2026-02-01T07:16:15Z,2026-06-10T19:59:21Z
Kong/kong,🦍 The API and AI Gateway,43559,5147,Lua,"['ai', 'ai-gateway', 'api-gateway', 'api-management', 'apis', 'artificial-intelligence', 'cloud-native', 'devops', 'kubernetes', 'kubernetes-ingress', 'kubernetes-ingress-controller', 'llm-gateway', 'llm-ops', 'mcp', 'mcp-gateway', 'microservice', 'microservices', 'openai-proxy', 'reverse-proxy', 'serverless']",https://github.com/Kong/kong,2014-11-17T23:56:08Z,2026-06-10T20:25:09Z
danielmiessler/Fabric,Fabric is an open-source framework for augmenting humans using AI. It provides a modular system for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,42256,4174,Go,"['ai', 'augmentation', 'flourishing', 'life', 'work']",https://github.com/danielmiessler/Fabric,2024-01-03T23:18:31Z,2026-06-10T19:58:51Z
asgeirtj/system_prompts_leaks,"Extracted system prompts from Anthropic - Claude Fable 5, Opus 4.8, Claude Code, Claude Design. OpenAI - ChatGPT 5.5 Thinking, GPT 5.5 Instant, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly.",41555,6875,JavaScript,"['ai', 'anthropic', 'awesome', 'chatbot', 'chatgpt', 'claude', 'claude-code', 'codex', 'deep-learning', 'education', 'gemini', 'generative-ai', 'google', 'llm', 'machine-learning', 'natural-language-processing', 'nlp', 'open-source', 'openai', 'prompt-engineering']",https://github.com/asgeirtj/system_prompts_leaks,2025-05-03T02:43:56Z,2026-06-10T20:18:57Z
hpcaitech/ColossalAI,"Making large AI models cheaper, faster and more accessible",41394,4511,Python,"['ai', 'big-model', 'data-parallelism', 'deep-learning', 'distributed-computing', 'foundation-models', 'heterogeneous-training', 'hpc', 'inference', 'large-scale', 'model-parallelism', 'pipeline-parallelism']",https://github.com/hpcaitech/ColossalAI,2021-10-28T16:19:44Z,2026-06-10T07:51:51Z
agno-agi/agno,"Build, run, and manage agent platforms.",40624,5505,Python,"['agents', 'ai', 'ai-agents', 'developer-tools', 'python']",https://github.com/agno-agi/agno,2022-05-04T15:23:02Z,2026-06-10T18:03:27Z
Leonxlnx/taste-skill,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop ",40500,2860,Shell,"['agent', 'ai', 'claude', 'claude-code', 'codex', 'coding', 'design', 'frontend', 'lowcode', 'nocode', 'skill', 'skills', 'vibecoding']",https://github.com/Leonxlnx/taste-skill,2026-02-19T21:44:05Z,2026-06-10T20:26:34Z
pingcap/tidb,"TiDB is built for agentic workloads that grow unpredictably, with ACID guarantees and native support for transactions, analytics, and vector search. No data silos. No noisy neighbors. No infrastructure ceiling.",40146,6197,Go,"['agent', 'agent-context', 'agent-memory', 'agentic', 'ai', 'cloud-native', 'database', 'distributed-database', 'distributed-transactions', 'go', 'hacktoberfest', 'htap', 'memory', 'mysql', 'mysql-compatibility', 'scale', 'serverless', 'sql', 'tidb']",https://github.com/pingcap/tidb,2015-09-06T04:01:52Z,2026-06-10T20:16:10Z
photoprism/photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,39776,2288,Go,"['ai', 'golang', 'google-photos', 'machine-learning', 'photography', 'private-cloud', 'self-hosted', 'tensorflow']",https://github.com/photoprism/photoprism,2018-01-27T12:00:15Z,2026-06-10T20:12:39Z
mindsdb/minds-platform,"General-purpose AI designed for knowledge workers — creators, strategists, and operators — and individuals seeking AI systems they can truly control to help them get work done, with full flexibility to extend and deploy anywhere (VPC, on-prem, or cloud).",39282,6213,Dockerfile,"['agents', 'ai', 'analytics', 'artificial-inteligence', 'bigquery', 'business-intelligence', 'databases', 'hacktoberfest', 'llms', 'mcp', 'mssql', 'mysql', 'postgresql', 'rag']",https://github.com/mindsdb/minds-platform,2018-08-02T17:56:45Z,2026-06-10T18:25:01Z
QuivrHQ/quivr,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want.",39153,3725,Python,"['ai', 'api', 'chatbot', 'chatgpt', 'database', 'docker', 'framework', 'frontend', 'groq', 'html', 'javascript', 'llm', 'openai', 'postgresql', 'privacy', 'rag', 'react', 'security', 'typescript', 'vector']",https://github.com/QuivrHQ/quivr,2023-05-12T23:53:30Z,2026-06-10T20:22:56Z
