# The undigested legacy tail: sources cited before the digest discipline, listed exactly.
#
# A source with no `content_sha256` cannot be re-fetched, so `check_refetch` - the only gate
# that goes and looks - is blind to it. `check_verification` requires a digest on any source
# backing a CLAIMED DATE, which is the right scope for a gate clearable inside one PR, and it
# leaves this behind.
#
# An explicit list rather than a count, because a count only prevents NET growth: a pass could
# digest an old source while citing a new undigested one and the number would not move. Every
# entry here is grandfathered; anything NOT here must carry a digest.
#
# Shrinking it is the point. When a refresh pass digests a source, delete its line - and
# `tests/test_digest_ratchet.py` fails if a line here no longer describes an undigested source,
# so the list cannot rot into a permanent exemption.
#
# `slug|axis|url`, sorted.
bigcodebench|adoption|https://huggingface.co/spaces/bigcode/bigcodebench-leaderboard
bigcodebench|capability|https://github.com/bigcode-project/bigcodebench
bigcodebench|openness|https://github.com/bigcode-project/bigcodebench
blaxel-sandbox|openness|https://blaxel.ai/sandbox
blaxel-sandbox|openness|https://github.com/blaxel-ai/sandbox
browser-use|openness|https://github.com/browser-use/browser-use
chatbot-arena|adoption|https://arena.ai/
chatbot-arena|adoption|https://github.com/lm-sys/FastChat
chatbot-arena|capability|https://arena.ai/
chatbot-arena|capability|https://github.com/lmarena/arena-hard-auto
chatbot-arena|openness|https://arena.ai/
chatbot-arena|openness|https://github.com/lm-sys/FastChat
chatbot-arena|openness|https://github.com/lmarena/arena-hard-auto
chatgpt|capability|https://openai.com/index/how-people-are-using-chatgpt/
claude-ai|adoption|https://www.demandsage.com/claude-ai-statistics/
claude-code|capability|https://llm-stats.com/benchmarks/swe-bench-verified
claude-code|openness|https://code.claude.com/docs/en/overview
cloudflare-sandboxes|adoption|https://api.npmjs.org/downloads/point/last-month/@cloudflare/sandbox
cloudflare-sandboxes|adoption|https://blog.cloudflare.com/dynamic-workers/
cloudflare-sandboxes|capability|https://blog.cloudflare.com/dynamic-workers/
cloudflare-sandboxes|capability|https://github.com/cloudflare/sandbox-sdk
cloudflare-sandboxes|capability|https://www.computesdk.com/benchmarks/sandboxes/
cloudflare-sandboxes|openness|https://blog.cloudflare.com/dynamic-workers/
cloudflare-sandboxes|openness|https://github.com/cloudflare/sandbox-sdk
coder-oss|adoption|https://github.com/coder/coder
coder-oss|capability|https://github.com/coder/coder
coder-oss|openness|https://github.com/coder/coder
codex-cli|adoption|https://openai.com/index/scaling-codex-to-enterprises-worldwide/
codex-cli|openness|https://developers.openai.com/codex/cli
codex-cli|openness|https://github.com/openai/codex
compar-ia|adoption|https://github.com/betagouv/ComparIA
compar-ia|capability|https://github.com/betagouv/ComparIA
compar-ia|openness|https://github.com/betagouv/ComparIA
compar-ia|openness|https://raw.githubusercontent.com/betagouv/ComparIA/develop/LICENSE
composio|openness|https://github.com/ComposioHQ/composio
cursor|openness|https://www.cursor.com/
daytona-sandbox|adoption|https://pypistats.org/packages/daytona
daytona-sandbox|capability|https://github.com/daytonaio/daytona
daytona-sandbox|capability|https://www.computesdk.com/benchmarks/sandboxes/
daytona-sandbox|openness|https://github.com/daytonaio/daytona
deepeval|adoption|https://github.com/confident-ai/deepeval
deepeval|adoption|https://pypistats.org/packages/deepeval
deepeval|capability|https://github.com/confident-ai/deepeval
deepeval|openness|https://api.github.com/repos/confident-ai/deepeval/contents
deepeval|openness|https://github.com/confident-ai/deepeval
deepseek-chat|adoption|https://play.google.com/store/apps/details?id=com.deepseek.chat&hl=en_US
deepseek|capability|https://www.morphllm.com/deepseek-v4
doubao|adoption|https://en.wikipedia.org/wiki/Doubao
doubao|adoption|https://pandaily.com/bytedance-s-doubao-introduces-paid-pro-tier-as-user-base-dip-jun2026
e2b-sandbox|adoption|https://e2b.dev/
e2b-sandbox|adoption|https://pypistats.org/packages/e2b
e2b-sandbox|capability|https://e2b.dev/
e2b-sandbox|capability|https://www.computesdk.com/benchmarks/sandboxes/
e2b-sandbox|openness|https://github.com/e2b-dev/E2B
epoch-ai-benchmarks|adoption|https://epoch.ai/benchmarks
epoch-ai-benchmarks|capability|https://epoch.ai/benchmarks
epoch-ai-benchmarks|openness|https://epoch.ai/benchmarks
epoch-ai-benchmarks|openness|https://epoch.ai/frontiermath
epoch-ai-benchmarks|openness|https://github.com/epoch-research
falcon|adoption|https://venturebeat.com/ai/uaes-falcon-3-challenges-open-source-leaders-amid-surging-demand-for-small-ai-models
feluda|openness|https://github.com/tattle-made/feluda
firecracker|adoption|https://github.com/firecracker-microvm/firecracker
firecracker|capability|https://github.com/firecracker-microvm/firecracker
firecracker|openness|https://github.com/firecracker-microvm/firecracker
firecrawl|openness|https://github.com/mendableai/firecrawl/blob/main/LICENSE
firecrawl|openness|https://www.firecrawl.dev/pricing
gemma|capability|https://cloud.google.com/blog/products/ai-machine-learning/gemma-4-available-on-google-cloud
glm|adoption|https://huggingface.co/zai-org/GLM-4-9B-Chat
gpt-4-1|capability|https://openai.com/index/gpt-4-1/
gpt-4o|adoption|https://www.demandsage.com/chatgpt-statistics/
gpt-5|adoption|https://www.demandsage.com/chatgpt-statistics/
guardrails-ai|openness|https://github.com/guardrails-ai/guardrails
gvisor|adoption|https://github.com/google/gvisor
gvisor|adoption|https://gvisor.dev/docs/
gvisor|capability|https://github.com/google/gvisor
gvisor|openness|https://github.com/google/gvisor
hailo-10h|adoption|https://hailo.ai/products/ai-accelerators/hailo-10h-m-2-ai-acceleration-module/
hailo-10h|capability|https://hailo.ai/products/ai-accelerators/hailo-10h-m-2-ai-acceleration-module/
hailo-10h|openness|https://hailo.ai/products/ai-accelerators/hailo-10h-m-2-ai-acceleration-module/
hailo-8|adoption|https://hailo.ai/products/ai-accelerators/hailo-8-ai-accelerator/
hailo-8|capability|https://hailo.ai/products/ai-accelerators/hailo-8-ai-accelerator/
hailo-8|openness|https://hailo.ai/products/ai-accelerators/hailo-8-ai-accelerator/
haystack|openness|https://github.com/deepset-ai/haystack
helicone|capability|https://github.com/Helicone/helicone
helicone|openness|https://github.com/Helicone/helicone
helm|adoption|https://github.com/stanford-crfm/helm
helm|adoption|https://pypistats.org/packages/crfm-helm
helm|capability|https://github.com/stanford-crfm/helm
helm|openness|https://github.com/stanford-crfm/helm
hexabot|openness|https://github.com/Hexastack/Hexabot
hexabot|openness|https://hexabot.ai/
huggingchat-chat-ui|adoption|https://huggingface.co/chat
huggingchat-chat-ui|adoption|https://www.startuphub.ai/ai-news/startup-news/2025/hugging-face-closes-huggingchat-to-make-way-for-next-generation-ai-tools
inspect-ai|adoption|https://inspect.aisi.org.uk/
inspect-ai|adoption|https://pepy.tech/projects/inspect-ai
inspect-ai|capability|https://github.com/UKGovernmentBEIS/inspect_ai
inspect-ai|capability|https://inspect.aisi.org.uk/models.html
inspect-ai|openness|https://github.com/UKGovernmentBEIS/inspect_ai
jina-reader|openness|https://github.com/jina-ai/reader
kata-containers|adoption|https://github.com/kata-containers/kata-containers
kata-containers|capability|https://github.com/kata-containers/kata-containers
kata-containers|openness|https://github.com/kata-containers/kata-containers
khadas-edge2|adoption|https://www.amazon.com/khadas-Computer-RK3588S-Portable-Compact/dp/B0BFVSC2D5
kimi|openness|https://huggingface.co/moonshotai/Kimi-K2.6
kimi|openness|https://www.kimi.com/blog/kimi-k3
laminar|adoption|https://pypistats.org/packages/lmnr
langgraph|openness|https://github.com/langchain-ai/langgraph
langtrace|openness|https://github.com/Scale3-Labs/langtrace
langtrace|openness|https://github.com/Scale3-Labs/langtrace/releases
langwatch|adoption|https://github.com/langwatch/langwatch
langwatch|openness|https://github.com/langwatch/langwatch
le-chat|capability|https://techcrunch.com/2025/02/19/mistrals-le-chat-tops-1m-downloads-in-just-14-days/
le-chat|openness|https://techcrunch.com/2025/02/19/mistrals-le-chat-tops-1m-downloads-in-just-14-days/
librechat|adoption|https://github.com/danny-avila/LibreChat
lighteval|adoption|https://github.com/huggingface/lighteval
lighteval|adoption|https://pypistats.org/packages/lighteval
lighteval|capability|https://github.com/huggingface/lighteval
lighteval|openness|https://github.com/huggingface/lighteval
litellm|openness|https://www.litellm.ai/
livebench|openness|https://huggingface.co/datasets/livebench/reasoning
livecodebench|openness|https://huggingface.co/datasets/livecodebench/code_generation_lite/blob/main/README.md
llama-index|openness|https://github.com/run-llama/llama_index
llamafirewall|openness|https://github.com/meta-llama/PurpleLlama
lm-evaluation-harness|adoption|https://github.com/EleutherAI/lm-evaluation-harness
lm-evaluation-harness|adoption|https://pypistats.org/packages/lm-eval
lm-evaluation-harness|capability|https://github.com/EleutherAI/lm-evaluation-harness
lm-evaluation-harness|openness|https://github.com/EleutherAI/lm-evaluation-harness
lovable|openness|https://lovable.dev
maple-ai|openness|https://github.com/OpenSecretCloud/Maple
maple-ai|openness|https://github.com/OpenSecretCloud/opensecret
mcp-typescript-sdk|openness|https://www.npmjs.com/package/@modelcontextprotocol/sdk
meta-ai|adoption|https://www.facebook.com/yahoofinance/posts/zuck-says-meta-ai-has-more-than-one-billion-monthly-active-users-/1194397235888386/
meta-ai|openness|https://www.facebook.com/legal/ai-terms
minimax|adoption|https://huggingface.co/MiniMaxAI/MiniMax-M2.5
minimax|openness|https://venturebeat.com/technology/minimax-m3-debuts-eclipsing-gpt-5-5-and-gemini-3-1-pro-on-key-benchmark-performance-for-just-5-10-of-the-cost
modal-sandboxes|adoption|https://modal.com/docs/guide/sandbox
modal-sandboxes|capability|https://modal.com/docs/guide/sandbox
modal-sandboxes|capability|https://modal.com/resources/best-code-execution-sandboxes-ai-agents
modal-sandboxes|capability|https://www.computesdk.com/benchmarks/sandboxes/
modal-sandboxes|openness|https://modal.com/docs/guide/sandbox
modal-sandboxes|openness|https://modal.com/pricing
model-context-protocol|openness|https://en.wikipedia.org/wiki/Model_Context_Protocol
model-context-protocol|openness|https://github.com/modelcontextprotocol/modelcontextprotocol/blob/main/LICENSE
mt-bench|openness|https://github.com/lm-sys/FastChat/tree/main/fastchat/llm_judge/data/mt_bench
muse-spark|adoption|https://ai.meta.com/blog/introducing-muse-spark-msl/
muse-spark|capability|https://ai.meta.com/blog/introducing-muse-spark-msl/
muse-spark|openness|https://ai.meta.com/blog/introducing-muse-spark-msl/
nemo-data-designer|openness|https://techcrunch.com/2025/03/19/nvidia-reportedly-acquires-synthetic-data-startup-gretel/
new-relic-ai-monitoring|adoption|https://newrelic.com/platform/ai-monitoring
nextchat|openness|https://api.github.com/repos/ChatGPTNextWeb/NextChat/contents/
nxp-imx-8m-plus|capability|https://www.nxp.com/docs/en/fact-sheet/IMX8MPLUSFS.pdf
nxp-imx-8m-plus|openness|https://www.nxp.com/products/i.MX8MPLUS
oasst1|capability|https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT
open-llm-leaderboard|adoption|https://huggingface.co/spaces/open-llm-leaderboard/open_llm_leaderboard/discussions/1135
open-llm-leaderboard|capability|https://huggingface.co/docs/leaderboards/en/open_llm_leaderboard/archive
open-llm-leaderboard|openness|https://huggingface.co/spaces/open-llm-leaderboard/open_llm_leaderboard
openai-evals-api-dashboard|adoption|https://developers.openai.com/api/docs/guides/evals
openai-evals-api-dashboard|capability|https://developers.openai.com/api/docs/guides/evals
openai-evals-api-dashboard|openness|https://developers.openai.com/api/docs/guides/evals
openai-evals|adoption|https://github.com/openai/evals
openai-evals|capability|https://github.com/openai/evals
openai-evals|openness|https://github.com/openai/evals
openai-evals|openness|https://github.com/openai/evals/blob/main/LICENSE.md
opencompass|adoption|https://github.com/open-compass/opencompass
opencompass|capability|https://github.com/open-compass/opencompass
opencompass|openness|https://github.com/open-compass/opencompass
openfn|adoption|https://github.com/OpenFn/lightning
openllmetry|openness|https://pypi.org/project/traceloop-sdk/
openpcc|openness|https://cloudsecurityalliance.org/blog/2025/11/13/introducing-openpcc
openpcc|openness|https://github.com/openpcc/openpcc
openrouter|adoption|https://openrouter.ai/
openrouter|adoption|https://techcrunch.com/2026/05/26/openrouter-more-than-doubles-valuation-to-1-3b-in-a-year/
opensandbox|adoption|https://github.com/alibaba/OpenSandbox
opensandbox|openness|https://github.com/alibaba/OpenSandbox
orange-pi-5|adoption|https://www.amazon.com/Orange-Pi-Frequency-Development-Android12/dp/B0BN16ZLXB
osworld|adoption|https://os-world.github.io/
osworld|capability|https://github.com/xlang-ai/OSWorld
osworld|capability|https://os-world.github.io/
osworld|openness|https://github.com/xlang-ai/OSWorld
osworld|openness|https://os-world.github.io/
patronus-evaluation-platform|adoption|https://github.com/patronus-ai/patronus-py
patronus-evaluation-platform|capability|https://docs.patronus.ai/docs
patronus-evaluation-platform|openness|https://docs.patronus.ai/docs
patronus-evaluation-platform|openness|https://github.com/patronus-ai/patronus-py
perplexity-sonar-api|adoption|https://www.perplexity.ai/api-platform
perplexity|adoption|https://www.perplexity.ai/
perplexity|capability|https://www.perplexity.ai/
perplexity|openness|https://www.perplexity.ai/
phi|openness|https://venturebeat.com/ai/microsoft-makes-powerful-phi-4-model-fully-open-source-on-hugging-face
poe|adoption|https://originality.ai/blog/poe-statistics
poe|adoption|https://poe.com/about
privatemode|openness|https://github.com/edgelesssys/privatemode-public
promptfoo|adoption|https://github.com/promptfoo/promptfoo
promptfoo|capability|https://github.com/promptfoo/promptfoo
promptfoo|openness|https://github.com/promptfoo/promptfoo
pydantic-ai|openness|https://github.com/pydantic/pydantic-ai
pysyft|openness|https://github.com/OpenMined/PySyft
pysyft|openness|https://pypi.org/project/syft/
qdrant|openness|https://github.com/qdrant/qdrant
qdrant|openness|https://github.com/qdrant/qdrant/blob/master/LICENSE
qualcomm-dragonwing-rb3-gen-2|capability|https://www.qualcomm.com/developer/hardware/rb3-gen-2-development-kit
qualcomm-dragonwing-rb3-gen-2|openness|https://www.qualcomm.com/developer/hardware/rb3-gen-2-development-kit
ragas|adoption|https://github.com/explodinggradients/ragas
ragas|adoption|https://pypistats.org/packages/ragas
ragas|capability|https://github.com/explodinggradients/ragas
ragas|openness|https://github.com/explodinggradients/ragas
raspberry-pi-5|adoption|https://www.raspberrypi.com/products/raspberry-pi-5/
raspberry-pi-5|capability|https://www.raspberrypi.com/products/raspberry-pi-5/
raspberry-pi-5|openness|https://www.raspberrypi.com/products/raspberry-pi-5/
raspberry-pi-ai-hat-plus|openness|https://www.raspberrypi.com/products/ai-hat/
ray|adoption|https://pepy.tech/projects/ray
ray|adoption|https://www.anyscale.com/blog/ray-by-anyscale-joins-pytorch-foundation
replit-agent-code-execution-api|adoption|https://replit.com/products/agent
replit-agent-code-execution-api|capability|https://replit.com/blog/ai-agents-code-execution
replit-agent-code-execution-api|openness|https://blog.replit.com/ai-agents-code-execution
replit-agent-code-execution-api|openness|https://replit.com/blog/ai-agents-code-execution
replit-agent|openness|https://replit.com/agent
sandbox-runtime|adoption|https://api.npmjs.org/downloads/point/last-month/@anthropic-ai/sandbox-runtime
sandbox-runtime|adoption|https://github.com/anthropic-experimental/sandbox-runtime
sandbox-runtime|capability|https://github.com/anthropic-experimental/sandbox-runtime
sandbox-runtime|openness|https://github.com/anthropic-experimental/sandbox-runtime
scale-evaluation|adoption|https://scale.com/blog/leaderboard
scale-evaluation|adoption|https://scale.com/blog/showdown
scale-evaluation|capability|https://scale.com/blog/leaderboard
scale-evaluation|capability|https://scale.com/genai-platform
scale-evaluation|openness|https://scale.com/blog/leaderboard
scale-evaluation|openness|https://scale.com/genai-platform
scale-evaluation|openness|https://scale.com/genai-platform
simple-evals|adoption|https://github.com/openai/simple-evals
simple-evals|capability|https://github.com/openai/simple-evals
simple-evals|openness|https://github.com/openai/simple-evals
simpleaudit|capability|https://github.com/kelkalot/simpleaudit
simpleaudit|openness|https://raw.githubusercontent.com/kelkalot/simpleaudit/main/LICENSE
simpleaudit|openness|https://www.digitalpublicgoods.net/r/simpleaudit
surfsense|openness|https://github.com/MODSetter/SurfSense/blob/main/LICENSE
swe-bench-verified|openness|https://github.com/SWE-bench/SWE-bench/blob/main/LICENSE
swe-bench-verified|openness|https://huggingface.co/datasets/princeton-nlp/SWE-bench_Verified/blob/main/README.md
swe-bench|adoption|https://github.com/princeton-nlp/SWE-bench
swe-bench|adoption|https://pypistats.org/packages/swebench
swe-bench|capability|https://github.com/princeton-nlp/SWE-bench
swe-bench|openness|https://github.com/princeton-nlp/SWE-bench
swe-bench|openness|https://pypi.org/project/swebench/
tensorlake-sandbox|openness|https://github.com/tensorlakeai/tensorlake
tensorlake-sandbox|openness|https://www.tensorlake.ai/
together-fine-tuning|adoption|https://www.together.ai/fine-tuning
vals-ai|adoption|https://www.vals.ai/benchmarks
vals-ai|capability|https://www.vals.ai
vals-ai|openness|https://www.vals.ai
vals-ai|openness|https://www.vals.ai/about
vercel-sandbox|adoption|https://api.npmjs.org/downloads/point/last-month/@vercel/sandbox
vercel-sandbox|adoption|https://vercel.com/docs/sandbox
vercel-sandbox|capability|https://www.computesdk.com/benchmarks/sandboxes/
vercel-sandbox|openness|https://vercel.com/docs/sandbox
vertex-ai-gen-ai-evaluation-service|adoption|https://docs.cloud.google.com/vertex-ai/generative-ai/docs/models/evaluation-overview
vertex-ai-gen-ai-evaluation-service|capability|https://docs.cloud.google.com/vertex-ai/generative-ai/docs/models/evaluation-overview
vertex-ai-gen-ai-evaluation-service|openness|https://docs.cloud.google.com/vertex-ai/generative-ai/docs/models/evaluation-overview
weave|capability|https://github.com/wandb/weave
weave|openness|https://github.com/wandb/weave
whylabs|adoption|https://github.com/whylabs/whylogs
yomo|openness|https://github.com/yomorun/yomo
yomo|openness|https://github.com/yomorun/yomo/blob/main/Cargo.toml
zed|openness|https://github.com/zed-industries/zed
