repo,product_slug,product_name,org,category,layer,openness_class,openness_bucket
github/spec-kit,spec-kit,Spec Kit,GitHub (Microsoft),orchestration_agents,product_ux,open_source,open
google-coral/libedgetpu,google-coral-dev-board,Google Coral Dev Board,Google,edge_hardware,infrastructure,documented,closed
google-deepmind/code_contests,codecontests,CodeContests,Google DeepMind,benchmark_eval_data,model_components,open,open
google-gemini/gemini-cli,gemini-cli,Gemini CLI,Google,orchestration_agents,product_ux,open_source,open
google/flax,flax,Flax,Google DeepMind,ml_frameworks,infrastructure,open_source,open
google/gvisor,gvisor,gVisor,Google,deployment,infrastructure,open_source,open
google/sentencepiece,sentencepiece,SentencePiece,Google,ml_frameworks,infrastructure,open_source,open
gradio-app/gradio,spaces,Spaces,Hugging Face,deployment,infrastructure,open_core,open
gusye1234/nano-graphrag,nano-graphrag,nano-graphrag,gusye1234,orchestration_agents,product_ux,open_source,open
hailo-ai/hailo_model_zoo_genai,hailo-10h,Hailo-10H,Hailo Technologies,edge_hardware,infrastructure,documented,closed
hailo-ai/hailort,hailo-8,Hailo-8,Hailo Technologies,edge_hardware,infrastructure,documented,closed
helicone/helicone,helicone,Helicone,Helicone,telemetry_observability,product_ux,open_core,open
hendrycks/apps,apps,APPS,Hendrycks et al. (UC Berkeley),benchmark_eval_data,model_components,open,open
hexastack/hexabot,hexabot,Hexabot,Hexastack,orchestration_agents,product_ux,source_available,open-ish
hiyouga/llama-factory,llama-factory,LLaMA-Factory,Unknown,finetuning_code,model_components,open_source,open
hkuds/lightrag,lightrag,LightRAG,HKU Data Science Lab,orchestration_agents,product_ux,open_source,open
huggingface/accelerate,accelerate,Accelerate,Hugging Face,ml_frameworks,infrastructure,open_source,open
huggingface/chat-ui,huggingchat-chat-ui,HuggingChat / chat-ui,Hugging Face,ui_api,product_ux,open_source,open
huggingface/datasets,hf-datasets,Datasets,Hugging Face,ml_frameworks,infrastructure,open_source,open
huggingface/diffusers,diffusers,Diffusers,Hugging Face,ml_frameworks,infrastructure,open_source,open
huggingface/huggingface_hub,huggingface-hub,huggingface_hub,Hugging Face,ml_frameworks,infrastructure,open_source,open
huggingface/lighteval,lighteval,lighteval,Hugging Face,evaluation_code,model_components,open_source,open
huggingface/optimum,optimum,Optimum,Hugging Face,ml_frameworks,infrastructure,open_source,open
huggingface/peft,peft,PEFT,Hugging Face,finetuning_code,model_components,open_source,open
huggingface/safetensors,safetensors,Safetensors,Hugging Face,ml_frameworks,infrastructure,open_source,open
huggingface/smolagents,smolagents,smolagents,Hugging Face,orchestration_agents,product_ux,open_source,open
huggingface/smollm,smollm2,SmolLM2,Hugging Face,base_pretrained,model_components,open_source,open
huggingface/tokenizers,tokenizers,Tokenizers,Hugging Face,ml_frameworks,infrastructure,open_source,open
huggingface/transformers,transformers,Transformers,Hugging Face,ml_frameworks,infrastructure,open_source,open
huggingface/trl,trl,TRL,Hugging Face,finetuning_code,model_components,open_source,open
i-am-bee/beeai-framework,beeai,BeeAI Framework,IBM,orchestration_agents,product_ux,open_source,open
infiniflow/ragflow,ragflow,RAGFlow,InfiniFlow,orchestration_agents,product_ux,open_source,open
internlm/lmdeploy,lmdeploy,LMDeploy,Shanghai AI Laboratory,inference_code,model_components,open_source,open
itzcrazykns/vane,perplexica,Perplexica,ItzCrazyKns,ui_api,product_ux,open_source,open
janhq/jan,jan,Jan,Jan,ui_api,product_ux,open_source,open
jax-ml/jax,jax,JAX,Google,ml_frameworks,infrastructure,open_source,open
jina-ai/reader,jina-reader,Jina Reader,Jina AI,agent_tools_protocols,product_ux,open_source,open
kata-containers/kata-containers,kata-containers,Kata Containers,OpenInfra Foundation,deployment,infrastructure,open_source,open
kelkalot/simpleaudit,simpleaudit,SimpleAudit,Simula Research Laboratory,evaluation_code,model_components,open_source,open
keras-team/keras,keras,Keras,Google,ml_frameworks,infrastructure,open_source,open
khadas/fenix,khadas-edge2,Khadas Edge2,Khadas (Shenzhen Wesion),edge_hardware,infrastructure,open_toolchain,open-ish
khoj-ai/khoj,khoj,Khoj,Khoj AI,ui_api,product_ux,open_source,open
korotovsky/slack-mcp-server,slack-mcp,Slack MCP Server,Dmitry Korotovsky,agent_tools_protocols,product_ux,open_source,open
kortix-ai/suna,suna,Suna,Kortix AI,orchestration_agents,product_ux,source_available,open-ish
langchain-ai/langgraph,langgraph,LangGraph,LangChain,orchestration_agents,product_ux,open_core,open
langflow-ai/langflow,langflow,Langflow,Langflow (DataStax),orchestration_agents,product_ux,open_source,open
langfuse/langfuse,langfuse,Langfuse,Langfuse,telemetry_observability,product_ux,open_core,open
langwatch/langwatch,langwatch,LangWatch,LangWatch,telemetry_observability,product_ux,open_core,open
lightning-ai/litgpt,litgpt,LitGPT,Lightning AI,finetuning_code,model_components,open_source,open
livebench/livebench,livebench,LiveBench,LiveBench,benchmark_eval_data,model_components,open,open
livecodebench/livecodebench,livecodebench,LiveCodeBench,LiveCodeBench Team,benchmark_eval_data,model_components,open,open
lm-sys/fastchat,mt-bench,MT-Bench,SGLang (LMSYS / UC Berkeley),benchmark_eval_data,model_components,open,open
lmnr-ai/lmnr,laminar,Laminar,Laminar AI,telemetry_observability,product_ux,open_source,open
lobehub/lobehub,lobe-chat,Lobe Chat,LobeHub,ui_api,product_ux,source_available,open-ish
makenotion/notion-mcp-server,notion-mcp,Notion MCP Server,Notion,agent_tools_protocols,product_ux,open_source,open
memryx/mxaccl,memryx-mx3,MemryX MX3,MemryX,edge_hardware,infrastructure,documented,closed
mendableai/firecrawl,firecrawl,Firecrawl,Mendable,agent_tools_protocols,product_ux,open_core,open
microsoft/autogen,autogen,AutoGen,Microsoft,orchestration_agents,product_ux,open_source,open
microsoft/graphrag,graphrag,GraphRAG,Microsoft,orchestration_agents,product_ux,open_source,open
microsoft/markitdown,markitdown,MarkItDown,Microsoft,agent_tools_protocols,product_ux,open_source,open
microsoft/onnxruntime,onnx-runtime,ONNX Runtime,Microsoft,inference_code,model_components,open_source,open
microsoft/playwright-mcp,playwright-mcp,Playwright MCP,Microsoft,agent_tools_protocols,product_ux,open_source,open
microsoft/semantic-kernel,semantic-kernel,Semantic Kernel,Microsoft,orchestration_agents,product_ux,open_source,open
milvus-io/milvus,milvus,Milvus,Zilliz,agent_tools_protocols,product_ux,open_source,open
mintplex-labs/anything-llm,anythingllm,AnythingLLM,Mintplex Labs,ui_api,product_ux,open_source,open
miurla/morphic,morphic,Morphic,Morphic,ui_api,product_ux,open_source,open
mlfoundations/dclm,dclm-baseline,DCLM-baseline,DataComp-LM (ML Foundations),training_synthetic_datasets,model_components,open,open
modelcontextprotocol/inspector,mcp-inspector,MCP Inspector,Anthropic,agent_tools_protocols,product_ux,open_source,open
modelcontextprotocol/python-sdk,mcp-python-sdk,MCP Python SDK,Anthropic,agent_tools_protocols,product_ux,open_source,open
modelcontextprotocol/servers,filesystem-mcp,Filesystem MCP Server,Anthropic,agent_tools_protocols,product_ux,open_source,open
modelcontextprotocol/typescript-sdk,mcp-typescript-sdk,MCP TypeScript SDK,Anthropic,agent_tools_protocols,product_ux,open_source,open
modsetter/surfsense,surfsense,SurfSense,SurfSense,ui_api,product_ux,open_source,open
mozilla-ai/llamafile,llamafile,llamafile,Mozilla AI,inference_code,model_components,open_source,open
mudler/localai,localai,LocalAI,Mudler (LocalAI),inference_code,model_components,open_source,open
n8n-io/n8n,n8n,n8n,n8n,orchestration_agents,product_ux,source_available,open-ish
nomic-ai/gpt4all,gpt4all,GPT4All,Nomic AI,ui_api,product_ux,open_source,open
nousresearch/atropos,atropos,Atropos,Nous Research,finetuning_code,model_components,open_source,open
nousresearch/hermes-agent,hermes-agent,Hermes Agent,Nous Research,orchestration_agents,product_ux,open_source,open
nuprl/multipl-e,multipl-e,MultiPL-E,Northeastern University / Brown / Wellesley,benchmark_eval_data,model_components,open,open
nvidia-nemo/rl,nemo-rl,NeMo-RL,NVIDIA,finetuning_code,model_components,open_source,open
nvidia/tensorrt-llm,tensorrt-llm,TensorRT-LLM,NVIDIA,inference_code,model_components,open_source,open
oe4t/meta-tegra,nvidia-jetson-orin-nano-super-developer-kit,NVIDIA Jetson Orin Nano Super Developer Kit,NVIDIA,edge_hardware,infrastructure,documented,closed
ollama/ollama,ollama,Ollama,Ollama,deployment,infrastructure,open_source,open
onnx/onnx,onnx,ONNX,LF AI & Data (Linux Foundation),ml_frameworks,infrastructure,open_source,open
open-compass/opencompass,opencompass,OpenCompass,OpenCompass Community,evaluation_code,model_components,open_source,open
open-thoughts/open-thoughts,openthoughts-114k,OpenThoughts-114k,Open Thoughts,training_synthetic_datasets,model_components,open,open
open-webui/open-webui,open-webui,Open WebUI,Open WebUI,ui_api,product_ux,source_available,open-ish
openai/codex,codex-cli,Codex CLI,OpenAI,orchestration_agents,product_ux,open_source,open
openai/human-eval,humaneval,HumanEval,OpenAI,benchmark_eval_data,model_components,open,open
openai/simple-evals,simple-evals,simple-evals,OpenAI,evaluation_code,model_components,open_source,open
openbmb/ultrafeedback,ultrafeedback,UltraFeedback,OpenBMB,training_synthetic_datasets,model_components,open,open
openclaw/openclaw,openclaw,OpenClaw,OpenClaw Foundation,ui_api,product_ux,open_source,open
openfn/lightning,openfn,OpenFn,Open Function Group (OpenFn),orchestration_agents,product_ux,open_source,open
openlit/openlit,openlit,OpenLIT,OpenLIT,telemetry_observability,product_ux,open_source,open
openmined/pysyft,pysyft,Syft / PySyft,OpenMined,ml_frameworks,infrastructure,open_source,open
openpcc/openpcc,openpcc,OpenPCC,Confident Security,deployment,infrastructure,open_source,open
openrlhf/openrlhf,openrlhf,OpenRLHF,OpenRLHF,finetuning_code,model_components,open_source,open
opensecretcloud/maple,maple-ai,Maple AI,OpenSecret,ui_api,product_ux,open_source,open
openvinotoolkit/openvino,openvino,OpenVINO,Intel,ml_frameworks,infrastructure,open_source,open
orangepi-xunlong/orangepi-build,orange-pi-5,Orange Pi 5,Orange Pi (Shenzhen Xunlong),edge_hardware,infrastructure,open_toolchain,open-ish
pathwaycom/pathway,pathway,Pathway,Pathway,orchestration_agents,product_ux,source_available,open-ish
prefecthq/fastmcp,fastmcp,FastMCP,Prefect,agent_tools_protocols,product_ux,open_source,open
princeton-nlp/swe-bench,swe-bench,SWE-bench,Princeton NLP,evaluation_code,model_components,open_source,open
promptfoo/promptfoo,promptfoo,promptfoo,promptfoo,evaluation_code,model_components,open_source,open
protonlumo/android-lumo,lumo,Proton Lumo,Proton,ui_api,product_ux,open_core,open
protonlumo/ios-lumo,lumo,Proton Lumo,Proton,ui_api,product_ux,open_core,open
pydantic/pydantic-ai,pydantic-ai,PydanticAI,Pydantic,orchestration_agents,product_ux,open_core,open
pytorch/pytorch,pytorch,PyTorch,PyTorch Foundation (Linux Foundation),ml_frameworks,infrastructure,open_source,open
pytorch/torchtune,torchtune,torchtune,PyTorch Foundation (Linux Foundation),finetuning_code,model_components,open_source,open
qdrant/qdrant,qdrant,Qdrant,Qdrant,agent_tools_protocols,product_ux,open_core,open
radxa-repo/bsp,radxa-rock-5b,Radxa ROCK 5B,Radxa,edge_hardware,infrastructure,open_toolchain,open-ish
raspberrypi/hailort,raspberry-pi-ai-hat-plus,Raspberry Pi AI HAT+,Raspberry Pi,edge_hardware,infrastructure,open_toolchain,open-ish
raspberrypi/linux,raspberry-pi-5,Raspberry Pi 5,Raspberry Pi,edge_hardware,infrastructure,open_toolchain,open-ish
run-llama/llama_index,llama-index,LlamaIndex,LlamaIndex,orchestration_agents,product_ux,open_core,open
scale3-labs/langtrace,langtrace,Langtrace,Scale3 Labs,telemetry_observability,product_ux,open_core,open
searxng/searxng,searxng,SearXNG,SearXNG,agent_tools_protocols,product_ux,open_source,open
sgl-project/sglang,sglang,SGLang,SGLang (LMSYS / UC Berkeley),inference_code,model_components,open_source,open
significant-gravitas/autogpt,autogpt,AutoGPT,Significant Gravitas,orchestration_agents,product_ux,source_available,open-ish
sillytavern/sillytavern,sillytavern,SillyTavern,SillyTavern,ui_api,product_ux,open_source,open
simonw/llm,llm,LLM (Datasette),Datasette,ui_api,product_ux,open_source,open
sipeed/maixpy,sipeed-maixcam,Sipeed MaixCAM,Sipeed,edge_hardware,infrastructure,open_toolchain,open-ish
sst/opencode,opencode,OpenCode,SST / Anomaly,orchestration_agents,product_ux,open_source,open
stackblitz/webcontainer-core,webcontainers,WebContainers,StackBlitz,deployment,infrastructure,source_available,open-ish
stanford-crfm/helm,helm,HELM,Stanford CRFM,evaluation_code,model_components,open_source,open
stanfordnlp/dspy,dspy,DSPy,Stanford NLP,orchestration_agents,product_ux,open_source,open
swe-agent/swe-agent,swe-agent,SWE-agent,Princeton NLP,orchestration_agents,product_ux,open_source,open
tatsu-lab/alpaca_eval,alpacaeval,AlpacaEval,Tatsu Lab (Stanford),evaluation_code,model_components,open_source,open
tattle-made/feluda,feluda,Feluda,Tattle,ml_frameworks,infrastructure,open_source,open
tencent-ailab/persona-hub,personahub,PersonaHub,Tencent AI Lab,training_synthetic_datasets,model_components,open,open
tensorflow/tensorflow,tensorflow,TensorFlow,Google,ml_frameworks,infrastructure,open_source,open
texasinstruments/edgeai-tidl-tools,ti-am67a,Texas Instruments AM67A,Texas Instruments,edge_hardware,infrastructure,documented,closed
thunderbird/thunderbolt,thunderbolt,Thunderbolt,MZLA Technologies,ui_api,product_ux,open_source,open
togethercomputer/redpajama-data,redpajama-data-v2,RedPajama-Data-v2,Together AI,training_synthetic_datasets,model_components,open,open
traceloop/openllmetry,openllmetry,OpenLLMetry,Traceloop,telemetry_observability,product_ux,open_source,open
triton-lang/triton,triton,Triton,Triton (triton-lang),ml_frameworks,infrastructure,open_source,open
truera/trulens,trulens,TruLens,Snowflake,telemetry_observability,product_ux,open_source,open
ukgovernmentbeis/inspect_ai,inspect-ai,Inspect AI,UK AI Security Institute,evaluation_code,model_components,open_source,open
unslothai/unsloth,unsloth,Unsloth,Unsloth AI,finetuning_code,model_components,open_source,open
vllm-project/vllm,vllm,vLLM,vLLM (UC Berkeley / vLLM team),inference_code,model_components,open_source,open
volcengine/verl,verl,verl,ByteDance Seed / Volcano Engine,finetuning_code,model_components,open_source,open
wandb/weave,weave,Weave,Weights & Biases,telemetry_observability,product_ux,open_core,open
xiaomimimo/mimo,mimo-v2-5-pro,MiMo-V2.5-Pro,Xiaomi,base_pretrained,model_components,open_weights,open-ish
xlang-ai/osworld,osworld,OSWorld,XLang AI Lab,evaluation_code,model_components,open_source,open
zai-org/glm-5,glm-5-2,GLM-5.2,Zhipu / Z.ai,base_pretrained,model_components,open_weights,open-ish
zed-industries/zed,zed,Zed,Zed Industries,orchestration_agents,product_ux,open_core,open
